,Unnamed: 0,Tweet,Sarcasm (yes/no),clean_text
190,190,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
191,191,"Had a athletes, best experience ever. Not.",yes,athletes best experience
192,192,"Everyone loves doctors, right?",yes,everyone loves doctors right
193,193,"Everyone loves the workshop, right?",yes,everyone loves workshop right
194,194,I just love when the meal happens.,yes,love meal happens
195,195,"this book are so wonderful, said no one ever.",yes,book wonderful said one
196,196,Can't wait for more of the workshop.,no,cant wait workshop
197,197,"Had a artists, best experience ever. Not.",yes,artists best experience
198,198,this book are genuinely amazing.,no,book genuinely amazing
199,199,"Everyone loves the concert, right?",yes,everyone loves concert right
200,200,Nothing better than a the game moment.,yes,nothing better game moment
201,201,"Everyone loves the meal, right?",yes,everyone loves meal right
202,202,I am always excited for engineers.,no,always excited engineers
203,203,"Oh great, another the game. Just what I needed.",yes,oh great another game needed
204,204,"Oh great, another this movie. Just what I needed.",yes,oh great another movie needed
205,205,"Had a the game, best experience ever. Not.",yes,game best experience
206,206,I find athletes to be wonderful.,no,find athletes wonderful
207,207,Because this book really make everything better.,yes,book really make everything better
208,208,athletes are genuinely amazing.,no,athletes genuinely amazing
209,209,Can't wait for more of writers.,yes,cant wait writers
210,210,Can't wait for more of this book.,no,cant wait book
211,211,I genuinely love musicians.,no,genuinely love musicians
212,212,"Oh great, another musicians. Just what I needed.",yes,oh great another musicians needed
213,213,Can't wait for more of engineers.,yes,cant wait engineers
214,214,I genuinely love engineers.,no,genuinely love engineers
215,215,Because the concert really make everything better.,yes,concert really make everything better
216,216,engineers have always been great.,no,engineers always great
217,217,"Everyone loves this movie, right?",yes,everyone loves movie right
218,218,"Had a musicians, best experience ever. Not.",yes,musicians best experience
219,219,Because my new phone really make everything better.,yes,new phone really make everything better
220,220,Nothing better than a musicians moment.,yes,nothing better musicians moment
221,221,artists are genuinely amazing.,no,artists genuinely amazing
222,222,Had a great time with scientists.,no,great time scientists
223,223,"doctors are so wonderful, said no one ever.",yes,doctors wonderful said one
224,224,Can't wait for more of doctors.,no,cant wait doctors
225,225,"Had a this book, best experience ever. Not.",yes,book best experience
226,226,the meal have always been great.,no,meal always great
227,227,I just love when artists happens.,yes,love artists happens
228,228,the workshop are genuinely amazing.,no,workshop genuinely amazing
229,229,Because my new phone really make everything better.,yes,new phone really make everything better
230,230,I just love when my new phone happens.,yes,love new phone happens
231,231,the game are genuinely amazing.,no,game genuinely amazing
232,232,"musicians are so wonderful, said no one ever.",yes,musicians wonderful said one
233,233,I genuinely love musicians.,no,genuinely love musicians
234,234,"Everyone loves artists, right?",yes,everyone loves artists right
235,235,Nothing better than a writers moment.,yes,nothing better writers moment
236,236,Can't wait for more of scientists.,yes,cant wait scientists
237,237,I find scientists to be wonderful.,no,find scientists wonderful
238,238,Because vegetarians really make everything better.,yes,vegetarians really make everything better
239,239,"Had a the concert, best experience ever. Not.",yes,concert best experience
240,240,I genuinely love the conference.,no,genuinely love conference
241,241,I genuinely love my new phone.,no,genuinely love new phone
242,242,Nothing better than a doctors moment.,yes,nothing better doctors moment
243,243,artists are genuinely amazing.,no,artists genuinely amazing
244,244,"the concert are so wonderful, said no one ever.",yes,concert wonderful said one
245,245,"Everyone loves this movie, right?",yes,everyone loves movie right
246,246,Can't wait for more of the workshop.,no,cant wait workshop
247,247,Because engineers really make everything better.,yes,engineers really make everything better
248,248,"Oh great, another artists. Just what I needed.",yes,oh great another artists needed
249,249,"Everyone loves the concert, right?",yes,everyone loves concert right
250,250,I am always excited for engineers.,no,always excited engineers
251,251,"this book are so wonderful, said no one ever.",yes,book wonderful said one
252,252,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
253,253,"Had a doctors, best experience ever. Not.",yes,doctors best experience
254,254,artists are truly inspiring.,no,artists truly inspiring
255,255,Because vegetarians really make everything better.,yes,vegetarians really make everything better
256,256,this movie have always been great.,no,movie always great
257,257,athletes are genuinely amazing.,no,athletes genuinely amazing
258,258,scientists are genuinely amazing.,no,scientists genuinely amazing
259,259,I genuinely love engineers.,no,genuinely love engineers
260,260,Had a great time with athletes.,no,great time athletes
261,261,"Oh great, another vegetarians. Just what I needed.",yes,oh great another vegetarians needed
262,262,Because scientists really make everything better.,yes,scientists really make everything better
263,263,"Oh great, another scientists. Just what I needed.",yes,oh great another scientists needed
264,264,the game are genuinely amazing.,no,game genuinely amazing
265,265,musicians are truly inspiring.,no,musicians truly inspiring
266,266,the meal have always been great.,no,meal always great
267,267,I just love when scientists happens.,yes,love scientists happens
268,268,"the game are so wonderful, said no one ever.",yes,game wonderful said one
269,269,I just love when engineers happens.,yes,love engineers happens
270,270,I am always excited for the concert.,no,always excited concert
271,271,Because vegetarians really make everything better.,yes,vegetarians really make everything better
272,272,the game have always been great.,no,game always great
273,273,"Everyone loves writers, right?",yes,everyone loves writers right
274,274,Because vegetarians really make everything better.,yes,vegetarians really make everything better
275,275,Can't wait for more of this movie.,no,cant wait movie
276,276,"Had a the meal, best experience ever. Not.",yes,meal best experience
277,277,"this book are so wonderful, said no one ever.",yes,book wonderful said one
278,278,this book have always been great.,no,book always great
279,279,"Everyone loves the concert, right?",yes,everyone loves concert right
280,280,Can't wait for more of artists.,yes,cant wait artists
281,281,I just love when the conference happens.,yes,love conference happens
282,282,I genuinely love the workshop.,no,genuinely love workshop
283,283,"the game are so wonderful, said no one ever.",yes,game wonderful said one
284,284,Can't wait for more of the concert.,yes,cant wait concert
285,285,"engineers are so wonderful, said no one ever.",yes,engineers wonderful said one
286,286,artists have always been great.,no,artists always great
287,287,I am always excited for the conference.,no,always excited conference
288,288,I genuinely love engineers.,no,genuinely love engineers
289,289,"Had a the game, best experience ever. Not.",yes,game best experience
290,290,Can't wait for more of artists.,yes,cant wait artists
291,291,Can't wait for more of doctors.,no,cant wait doctors
292,292,Because musicians really make everything better.,yes,musicians really make everything better
293,293,Can't wait for more of scientists.,yes,cant wait scientists
294,294,"Everyone loves the concert, right?",yes,everyone loves concert right
295,295,I genuinely love athletes.,no,genuinely love athletes
296,296,I am always excited for the game.,no,always excited game
297,297,Had a great time with the workshop.,no,great time workshop
298,298,the workshop are truly inspiring.,no,workshop truly inspiring
299,299,"writers are so wonderful, said no one ever.",yes,writers wonderful said one
300,300,writers are genuinely amazing.,no,writers genuinely amazing
301,301,I am always excited for athletes.,no,always excited athletes
302,302,my new phone are genuinely amazing.,no,new phone genuinely amazing
303,303,"Everyone loves athletes, right?",yes,everyone loves athletes right
304,304,the workshop are truly inspiring.,no,workshop truly inspiring
305,305,Can't wait for more of my new phone.,yes,cant wait new phone
306,306,"engineers are so wonderful, said no one ever.",yes,engineers wonderful said one
307,307,Had a great time with vegetarians.,no,great time vegetarians
308,308,Because scientists really make everything better.,yes,scientists really make everything better
309,309,"Had a the concert, best experience ever. Not.",yes,concert best experience
310,310,Nothing better than a the meal moment.,yes,nothing better meal moment
311,311,"Everyone loves doctors, right?",yes,everyone loves doctors right
312,312,"Had a vegetarians, best experience ever. Not.",yes,vegetarians best experience
313,313,Can't wait for more of athletes.,yes,cant wait athletes
314,314,doctors are genuinely amazing.,no,doctors genuinely amazing
315,315,athletes have always been great.,no,athletes always great
316,316,Nothing better than a vegetarians moment.,yes,nothing better vegetarians moment
317,317,Nothing better than a the game moment.,yes,nothing better game moment
318,318,I find the meal to be wonderful.,no,find meal wonderful
319,319,Nothing better than a the conference moment.,yes,nothing better conference moment
320,320,"Oh great, another engineers. Just what I needed.",yes,oh great another engineers needed
321,321,Because this movie really make everything better.,yes,movie really make everything better
322,322,Because writers really make everything better.,yes,writers really make everything better
323,323,Had a great time with my new phone.,no,great time new phone
324,324,I genuinely love writers.,no,genuinely love writers
325,325,"Oh great, another engineers. Just what I needed.",yes,oh great another engineers needed
326,326,I just love when this book happens.,yes,love book happens
327,327,Nothing better than a engineers moment.,yes,nothing better engineers moment
328,328,"Oh great, another athletes. Just what I needed.",yes,oh great another athletes needed
329,329,"Oh great, another the concert. Just what I needed.",yes,oh great another concert needed
330,330,"Oh great, another the game. Just what I needed.",yes,oh great another game needed
331,331,"this movie are so wonderful, said no one ever.",yes,movie wonderful said one
332,332,Can't wait for more of vegetarians.,no,cant wait vegetarians
333,333,Had a great time with musicians.,no,great time musicians
334,334,"Oh great, another the concert. Just what I needed.",yes,oh great another concert needed
335,335,"Oh great, another my new phone. Just what I needed.",yes,oh great another new phone needed
336,336,Nothing better than a musicians moment.,yes,nothing better musicians moment
337,337,Had a great time with my new phone.,no,great time new phone
338,338,I find writers to be wonderful.,no,find writers wonderful
339,339,"Everyone loves the game, right?",yes,everyone loves game right
340,340,I just love when the conference happens.,yes,love conference happens
341,341,athletes are truly inspiring.,no,athletes truly inspiring
342,342,"Oh great, another artists. Just what I needed.",yes,oh great another artists needed
343,343,this book have always been great.,no,book always great
344,344,Can't wait for more of writers.,yes,cant wait writers
345,345,"Everyone loves artists, right?",yes,everyone loves artists right
346,346,I just love when athletes happens.,yes,love athletes happens
347,347,I just love when athletes happens.,yes,love athletes happens
348,348,I just love when musicians happens.,yes,love musicians happens
349,349,"Oh great, another engineers. Just what I needed.",yes,oh great another engineers needed
350,350,Nothing better than a musicians moment.,yes,nothing better musicians moment
351,351,I genuinely love athletes.,no,genuinely love athletes
352,352,Because the concert really make everything better.,yes,concert really make everything better
353,353,doctors have always been great.,no,doctors always great
354,354,Can't wait for more of this movie.,no,cant wait movie
355,355,I just love when the game happens.,yes,love game happens
356,356,Had a great time with musicians.,no,great time musicians
357,357,Nothing better than a the concert moment.,yes,nothing better concert moment
358,358,I am always excited for doctors.,no,always excited doctors
359,359,"musicians are so wonderful, said no one ever.",yes,musicians wonderful said one
360,360,doctors are genuinely amazing.,no,doctors genuinely amazing
361,361,Because this book really make everything better.,yes,book really make everything better
362,362,Nothing better than a artists moment.,yes,nothing better artists moment
363,363,"Everyone loves my new phone, right?",yes,everyone loves new phone right
364,364,Can't wait for more of artists.,no,cant wait artists
365,365,scientists have always been great.,no,scientists always great
366,366,the game have always been great.,no,game always great
367,367,Had a great time with the meal.,no,great time meal
368,368,I genuinely love engineers.,no,genuinely love engineers
369,369,Can't wait for more of musicians.,yes,cant wait musicians
370,370,Nothing better than a artists moment.,yes,nothing better artists moment
371,371,my new phone are genuinely amazing.,no,new phone genuinely amazing
372,372,Because this movie really make everything better.,yes,movie really make everything better
373,373,I just love when engineers happens.,yes,love engineers happens
374,374,doctors are genuinely amazing.,no,doctors genuinely amazing
375,375,I find engineers to be wonderful.,no,find engineers wonderful
376,376,athletes are truly inspiring.,no,athletes truly inspiring
377,377,"Had a scientists, best experience ever. Not.",yes,scientists best experience
378,378,Can't wait for more of the game.,yes,cant wait game
379,379,"the meal are so wonderful, said no one ever.",yes,meal wonderful said one
380,380,I just love when the meal happens.,yes,love meal happens
381,381,"Everyone loves the meal, right?",yes,everyone loves meal right
382,382,Can't wait for more of the conference.,no,cant wait conference
383,383,Had a great time with the game.,no,great time game
384,384,"Everyone loves musicians, right?",yes,everyone loves musicians right
385,385,"Everyone loves this book, right?",yes,everyone loves book right
386,386,the workshop have always been great.,no,workshop always great
387,387,I find this book to be wonderful.,no,find book wonderful
388,388,I find doctors to be wonderful.,no,find doctors wonderful
389,389,Nothing better than a writers moment.,yes,nothing better writers moment
390,390,I am always excited for this movie.,no,always excited movie
391,391,the workshop have always been great.,no,workshop always great
392,392,I find vegetarians to be wonderful.,no,find vegetarians wonderful
393,393,the concert are genuinely amazing.,no,concert genuinely amazing
394,394,I am always excited for athletes.,no,always excited athletes
395,395,athletes are truly inspiring.,no,athletes truly inspiring
396,396,"Had a athletes, best experience ever. Not.",yes,athletes best experience
397,397,Nothing better than a my new phone moment.,yes,nothing better new phone moment
398,398,"Everyone loves musicians, right?",yes,everyone loves musicians right
399,399,the concert have always been great.,no,concert always great
400,400,"Had a writers, best experience ever. Not.",yes,writers best experience
401,401,Can't wait for more of this movie.,yes,cant wait movie
402,402,"Had a musicians, best experience ever. Not.",yes,musicians best experience
403,403,Can't wait for more of the conference.,no,cant wait conference
404,404,I find the game to be wonderful.,no,find game wonderful
405,405,Nothing better than a writers moment.,yes,nothing better writers moment
406,406,I just love when musicians happens.,yes,love musicians happens
407,407,Can't wait for more of athletes.,yes,cant wait athletes
408,408,"Everyone loves vegetarians, right?",yes,everyone loves vegetarians right
409,409,Nothing better than a musicians moment.,yes,nothing better musicians moment
410,410,Nothing better than a the game moment.,yes,nothing better game moment
411,411,Because athletes really make everything better.,yes,athletes really make everything better
412,412,I just love when musicians happens.,yes,love musicians happens
413,413,Had a great time with vegetarians.,no,great time vegetarians
414,414,"Had a this movie, best experience ever. Not.",yes,movie best experience
415,415,I genuinely love scientists.,no,genuinely love scientists
416,416,Can't wait for more of this book.,no,cant wait book
417,417,I find musicians to be wonderful.,no,find musicians wonderful
418,418,I genuinely love the conference.,no,genuinely love conference
419,419,I genuinely love the concert.,no,genuinely love concert
420,420,Nothing better than a musicians moment.,yes,nothing better musicians moment
421,421,I find scientists to be wonderful.,no,find scientists wonderful
422,422,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
423,423,I just love when writers happens.,yes,love writers happens
424,424,"musicians are so wonderful, said no one ever.",yes,musicians wonderful said one
425,425,"athletes are so wonderful, said no one ever.",yes,athletes wonderful said one
426,426,I just love when musicians happens.,yes,love musicians happens
427,427,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
428,428,"this movie are so wonderful, said no one ever.",yes,movie wonderful said one
429,429,I just love when vegetarians happens.,yes,love vegetarians happens
430,430,"the meal are so wonderful, said no one ever.",yes,meal wonderful said one
431,431,"Had a scientists, best experience ever. Not.",yes,scientists best experience
432,432,Had a great time with vegetarians.,no,great time vegetarians
433,433,my new phone are genuinely amazing.,no,new phone genuinely amazing
434,434,"Had a athletes, best experience ever. Not.",yes,athletes best experience
435,435,I find athletes to be wonderful.,no,find athletes wonderful
436,436,"Oh great, another writers. Just what I needed.",yes,oh great another writers needed
437,437,I just love when the workshop happens.,yes,love workshop happens
438,438,I am always excited for vegetarians.,no,always excited vegetarians
439,439,Can't wait for more of writers.,no,cant wait writers
440,440,Had a great time with this book.,no,great time book
441,441,"Oh great, another artists. Just what I needed.",yes,oh great another artists needed
442,442,Because artists really make everything better.,yes,artists really make everything better
443,443,I find artists to be wonderful.,no,find artists wonderful
444,444,I am always excited for the meal.,no,always excited meal
445,445,I just love when writers happens.,yes,love writers happens
446,446,I just love when the conference happens.,yes,love conference happens
447,447,artists have always been great.,no,artists always great
448,448,Because this book really make everything better.,yes,book really make everything better
449,449,I find scientists to be wonderful.,no,find scientists wonderful
450,450,athletes are genuinely amazing.,no,athletes genuinely amazing
451,451,Had a great time with scientists.,no,great time scientists
452,452,I am always excited for this book.,no,always excited book
453,453,"Oh great, another doctors. Just what I needed.",yes,oh great another doctors needed
454,454,I am always excited for engineers.,no,always excited engineers
455,455,I find this book to be wonderful.,no,find book wonderful
456,456,Nothing better than a the meal moment.,yes,nothing better meal moment
457,457,Had a great time with the workshop.,no,great time workshop
458,458,engineers are truly inspiring.,no,engineers truly inspiring
459,459,Had a great time with this movie.,no,great time movie
460,460,Nothing better than a the conference moment.,yes,nothing better conference moment
461,461,Nothing better than a artists moment.,yes,nothing better artists moment
462,462,Had a great time with my new phone.,no,great time new phone
463,463,I am always excited for athletes.,no,always excited athletes
464,464,this movie are genuinely amazing.,no,movie genuinely amazing
465,465,Can't wait for more of this book.,yes,cant wait book
466,466,I just love when this movie happens.,yes,love movie happens
467,467,vegetarians are genuinely amazing.,no,vegetarians genuinely amazing
468,468,I just love when my new phone happens.,yes,love new phone happens
469,469,the meal are genuinely amazing.,no,meal genuinely amazing
470,470,the meal are truly inspiring.,no,meal truly inspiring
471,471,I genuinely love doctors.,no,genuinely love doctors
472,472,I am always excited for writers.,no,always excited writers
473,473,"Had a doctors, best experience ever. Not.",yes,doctors best experience
474,474,I am always excited for the concert.,no,always excited concert
475,475,"Everyone loves scientists, right?",yes,everyone loves scientists right
476,476,"this movie are so wonderful, said no one ever.",yes,movie wonderful said one
477,477,I just love when doctors happens.,yes,love doctors happens
478,478,Because the conference really make everything better.,yes,conference really make everything better
479,479,"musicians are so wonderful, said no one ever.",yes,musicians wonderful said one
480,480,"Had a artists, best experience ever. Not.",yes,artists best experience
481,481,I find my new phone to be wonderful.,no,find new phone wonderful
482,482,the meal have always been great.,no,meal always great
483,483,Because the game really make everything better.,yes,game really make everything better
484,484,"Had a my new phone, best experience ever. Not.",yes,new phone best experience
485,485,I genuinely love this book.,no,genuinely love book
486,486,"the game are so wonderful, said no one ever.",yes,game wonderful said one
487,487,the meal are genuinely amazing.,no,meal genuinely amazing
488,488,Nothing better than a scientists moment.,yes,nothing better scientists moment
489,489,artists are truly inspiring.,no,artists truly inspiring
490,490,"Oh great, another musicians. Just what I needed.",yes,oh great another musicians needed
491,491,Had a great time with artists.,no,great time artists
492,492,I genuinely love vegetarians.,no,genuinely love vegetarians
493,493,I am always excited for this book.,no,always excited book
494,494,I just love when the concert happens.,yes,love concert happens
